#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.8918     -1.23     4.88     2.9768     4.8229
2011.8945     0.07     4.34     2.7427     4.2823
2011.8973     0.08     2.65     3.1728     4.9320
2011.9000     -1.33     3.30     2.7342     4.1908
2011.9027     -0.31     0.91     2.7395     4.2785
2011.9055     -0.86     2.76     2.9004     4.6424
2011.9082     -0.16     2.52     3.0128     4.5658
2011.9110     -0.28     -0.34     3.0159     4.5712
2011.9137     0.26     3.44     2.8188     4.4559
2011.9164     -0.20     3.22     2.8188     4.4574
2011.9192     0.23     3.25     2.7230     4.1021
2011.9301     -0.68     2.03     3.5298     5.4868
2011.9329     -1.11     2.12     2.8753     4.3901
2011.9356     -0.26     -0.85     3.1105     4.7732
2011.9384     -0.15     0.88     3.0918     4.7465
2011.9411     0.04     0.97     3.0835     4.6617
2011.9438     0.75     2.40     2.9676     4.7326
2011.9466     -2.80     -1.84     3.0250     4.5794
2011.9493     -2.35     0.19     2.9190     4.2165
2011.9521     -4.23     0.62     2.8776     4.3107
2011.9548     -1.16     -0.69     2.9500     4.4903
2011.9575     -2.23     1.51     2.8669     4.2981
2011.9603     -0.26     -0.87     3.0077     4.4831
2011.9630     0.16     -0.39     2.7940     4.1306
2011.9658     0.07     0.84     2.8028     4.2877
2011.9685     -1.87     3.65     2.5742     3.8274
2011.9712     0.63     1.24     2.6535     4.0113
2011.9740     0.17     -3.20     3.1530     4.7560
2011.9767     0.42     0.48     2.8715     4.3785
2011.9795     0.76     0.43     2.5823     3.9148
2011.9822     0.26     2.90     2.8752     4.3872
2011.9849     0.26     2.92     2.9431     4.4749
2011.9877     -0.10     1.47     2.7864     4.1112
2011.9904     -1.07     3.71     2.8316     4.4011
2011.9932     -2.66     0.49     2.8644     4.2976
2011.9959     -0.04     -2.87     3.0076     4.4815
2011.9986     -1.23     1.15     2.8104     4.3694
2012.0014     -1.91     3.92     2.9644     4.5117
2012.0041     -2.31     0.08     3.3476     4.7906
2012.0068     -1.93     0.27     3.3029     5.0342
2012.0096     -0.60     3.41     3.1693     4.9287
2012.0123     3.32     5.01     2.9508     4.5562
2012.0150     -0.45     4.17     2.9428     4.4730
2012.0178     1.13     7.14     2.7184     4.0184
2012.0205     0.45     6.54     2.8019     4.2860
2012.0232     2.53     7.93     2.9535     4.4001
2012.0260     -1.08     3.50     2.9506     4.4934
2012.0287     -1.07     3.50     3.0073     4.4869
2012.0314     -0.20     2.18     3.0108     4.4225
2012.0342     -1.86     -0.38     3.1781     5.0133
2012.0369     -3.93     -2.99     3.4620     5.3960
2012.0396     1.97     0.76     2.8877     4.5500
2012.0423     0.40     7.09     3.0975     4.7507
2012.0451     0.79     11.48     2.8914     4.5509
2012.0478     1.33     6.01     2.8282     4.5492
2012.0505     -3.19     4.40     2.9679     4.7328
2012.0533     -4.16     -3.04     2.9507     4.5595
2012.0560     -3.74     9.65     3.3579     5.3625
2012.0587     -4.37     1.68     2.8361     4.6294
2012.0615     -1.20     4.17     3.1812     5.0153
2012.0642     -0.57     -2.57     3.1192     4.8592
2012.0669     -2.04     6.77     3.0600     4.9384
2012.0697     1.83     6.01     2.8188     4.4574
2012.0724     1.31     7.29     2.9002     4.6424
2012.0751     1.93     8.26     2.8105     4.3695
2012.0779     -0.78     9.49     2.9003     4.6441
2012.0806     -0.26     6.60     2.7599     4.4525
2012.0833     -1.35     4.70     2.9183     4.7369
2012.0861     1.79     8.96     2.9860     4.9108
2012.0888     -0.04     7.10     3.1259     5.1027
2012.0915     -3.78     2.36     3.3489     5.4092
2012.0943     2.71     5.83     3.1993     5.1982
2012.0970     4.31     -2.64     2.9595     4.6491
2012.0997     0.34     -2.67     3.1733     4.9339
